annee;categorie_principale;sous_categorie;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;ca_nouveaux_clients;ca_anciens_clients;panier_moyen_nouveaux;panier_moyen_anciens;taux_reachat_pourcent
2026;"NATURE ET OUTDOOR";JUMELLES;12;12;8737.34;12;728.11;52.6;391;9;3;75.0;5539.83;3197.51;615.54;1065.84;33.3
2026;"MATERIEL D'ECLAIRAGE";MODELEUR;157;146;8735.45;259;55.64;36.5;463;71;80;48.6;3773.63;4961.82;53.15;57.70;60.3
2026;"MATERIEL VIDEO";TREPIED/SLIDER;32;32;8074.46;34;252.33;33.5;445;13;19;40.6;3422.60;4651.86;263.28;244.83;65.6
2026;SUPPORT/RIGS;CAGE;69;69;8064.76;72;116.88;33.6;472;37;32;53.6;4614.66;3450.10;124.72;107.82;50.7
2026;OCCASION;"ACCESSOIRE OCCASION";37;37;7655.51;37;206.91;44.9;320;23;14;62.2;4651.32;3004.19;202.23;214.59;43.2
2026;"APPAREIL PHOTO/VIDEO OCCASION";"VIDEO PRO OCCASION";2;2;7348.00;2;3674.00;26.0;1146;0;2;0.0;0.00;7348.00;;3674.00;100.0
2026;FILTRE;"FILTRE DENSITE NEUTRE";58;56;7245.24;61;124.92;33.1;279;32;25;57.1;3854.47;3390.77;120.45;130.41;44.6
2026;JUMELLES;THERMIQUE;5;5;6879.18;5;1375.84;48.8;494;3;2;60.0;3830.84;3048.34;1276.95;1524.17;60.0
2026;TREPIED/SLIDER;"TREPIED VIDEO";25;25;6853.87;27;274.15;29.8;410;11;14;44.0;3056.10;3797.77;277.83;271.27;64.0
2026;"MATERIEL VIDEO";STUDIO/STREAMING;22;21;6777.59;22;308.07;33.5;575;9;12;42.9;2336.34;4441.25;259.59;341.63;61.9
2026;FILTRE;"FILTRE UV, POLARISANT,..";117;112;6655.14;154;56.88;48.2;256;57;58;50.9;2910.49;3744.65;51.06;62.41;56.3
2026;FILTRE;"FILTRES SPECIAUX";39;39;6466.99;42;165.82;36.9;464;14;25;35.9;1967.00;4499.99;140.50;180.00;71.8
2026;"AUDIO PRO";"SYSTEMES SANS FIL";39;39;6091.62;40;156.20;31.3;475;16;23;41.0;2563.32;3528.30;160.21;153.40;59.0
2026;ACCESSOIRES;"BAGUE D'ADAPTATION";62;61;5893.04;67;95.05;41.6;339;31;31;50.8;3007.73;2885.31;97.02;93.07;55.7
2026;STUDIO/STREAMING;MONITEUR/ENREGISTREUR;14;14;5148.84;14;367.77;30.9;407;5;9;35.7;1746.59;3402.25;349.32;378.03;64.3
2026;"CAMERA EMBARQUEE/360";"CAMERA 360";10;10;4894.52;10;489.45;40.0;412;5;5;50.0;2521.42;2373.10;504.28;474.62;50.0
2026;OBJECTIF;"OBJECTIF MOYEN FORMAT";2;2;4865.83;2;2432.92;;338;1;1;50.0;4000.00;865.83;4000.00;865.83;100.0
2026;"MATERIEL INFORMATIQUE";STOCKAGE;20;19;4616.91;22;230.85;33.3;614;10;9;52.6;2107.74;2509.17;210.77;250.92;52.6
2026;"OBJECTIF OCCASION";"MOYEN FORMAT OCCASION";3;3;4597.00;3;1532.33;45.0;220;3;0;100.0;4597.00;0.00;1532.33;;0.0
2026;FILTRE;"KIT DE FILTRES";22;22;4559.19;23;207.24;42.5;337;11;11;50.0;2311.51;2247.68;210.14;204.33;63.6
2026;"AUDIO PRO";"BOOM/SHOTGUN MICROS";24;24;4547.80;24;189.49;27.6;412;14;10;58.3;2757.15;1790.65;196.94;179.07;41.7
2026;DRONE;"ACCESSOIRE DRONE";24;24;4516.83;26;188.20;37.9;441;14;10;58.3;2820.58;1696.25;201.47;169.63;45.8
2026;"ACCESSOIRE DE TERRAIN";"ÉTUI NÉOPRÈNE";37;37;4349.61;43;117.56;43.5;253;19;18;51.4;2157.53;2192.08;113.55;121.78;54.1
2026;MODELEUR;SOFTBOX;75;73;4292.63;89;57.24;34.0;369;42;33;57.5;2510.23;1782.40;59.77;54.01;53.4
2026;"ACCESSOIRE DE TERRAIN";AFFÛT/CAMOUFLAGE;50;45;4276.12;75;85.52;40.3;198;24;23;53.3;1828.35;2447.77;76.18;94.15;55.6
2026;SAC/VALISE;"SAC A BANDOULIERE";39;38;4152.68;39;106.48;41.6;259;18;21;47.4;1720.90;2431.78;95.61;115.80;63.2
