ean13;id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ht;qte_30j;rotation_30j;rotation_60j;rotation_90j
619659200565;7897;3668;"CARTE MEMOIRE/ACCESSOIRE";Sandisk;"SANDISK CARTE SD MICRO ULTRA UHS-I Capacité stockage: 256GB";0;34.030000;43.25;0;;;
619659200572;7897;3669;"CARTE MEMOIRE/ACCESSOIRE";Sandisk;"SANDISK CARTE SD MICRO ULTRA UHS-I Capacité stockage: 512GB";0;61.780000;77.42;0;;;
619659200589;7897;3670;"CARTE MEMOIRE/ACCESSOIRE";Sandisk;"SANDISK CARTE SD MICRO ULTRA UHS-I Capacité stockage: 1TB";0;112.040000;140.75;0;;;
6973251730887;7898;3671;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Canon RF";0;439.000000;562.50;0;;;
6973251730764;7898;3672;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Fujifilm GFX";0;446.000000;562.50;0;;;
6973251730894;7898;3673;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Hasselblad XCD";0;439.000000;562.50;0;;;
6973251730931;7898;3674;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Monture L";0;446.000000;562.50;0;;;
6973251730757;7898;3676;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Nikon Z";0;439.000000;562.50;0;;;
6973251730740;7898;3677;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 90MM F/1.25 Type de monture: Sony E";0;439.000000;562.50;0;;;
6955523707384;7902;6198;ACCESSOIRES;Meike;"MEIKE BAGUE D'ADAPTATION MK-EFTZ-B Bague d'adaptation: Canon EF vers Nikon Z";0;92.680000;157.50;0;;;
6973251731174;7903;3690;"EQUIPEMENT DE STUDIO";TTArtisan;"TTARTISAN POSEMÈTRE LIGHT METER Couleur TTARTISAN: Noir/Laiton";0;69.400000;104.17;0;;;
4547410425604;7905;3691;OBJECTIF;Fujifilm;"FUJIFILM OBJECTIF XC 35MM F/2.0 Type de monture: Fujifilm X";0;142.000000;165.83;0;;;
4548736143180;7907;3697;"PRO VIDEO";Sony;"SONY CAMERA FX30 SONY: Boitier Nu";7;1603.000000;1915.83;2;0.29;0.57;1.43
4548736141803;7907;3699;"PRO VIDEO";Sony;"SONY CAMERA FX30 SONY: + XLR-H1";2;1952.000000;2249.17;2;1.00;2.00;2.00
3565010047737;7907;11357;"PRO VIDEO";Sony;"SONY CAMERA FX30 SONY: + 18-105 MM F/4 G OSS PZ";0;1878.000000;2207.50;0;;;
3565010047744;7907;11358;"PRO VIDEO";Sony;"SONY CAMERA FX30 SONY: + 16-55 MM F/2,8 G";0;2276.000000;2665.83;0;;;
6973251731273;7909;3704;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF APS-C 25MM F/2 Type de monture: Fujifilm X";0;62.800000;79.17;0;;;
6973251731303;7909;3705;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF APS-C 25MM F/2 Type de monture: Nikon Z";0;62.800000;79.17;0;;;
6973251731266;7909;3706;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF APS-C 25MM F/2 Type de monture: Sony E";0;62.800000;79.17;0;;;
6973251731297;7909;3707;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF APS-C 25MM F/2 Type de monture: Micro 4/3";0;62.800000;79.17;0;;;
6973251731365;7909;3709;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF APS-C 25MM F/2 Type de monture: Monture L";0;62.800000;79.17;0;;;
8719706043540;7910;3710;STOCKAGE;Lacie;"LACIE DISQUE DUR MOBILE DRIVE USB-C Capacité stockage: 1TB";0;79.000000;99.92;0;;;
8719706043557;7910;3711;STOCKAGE;Lacie;"LACIE DISQUE DUR MOBILE DRIVE USB-C Capacité stockage: 2TB";0;97.000000;124.92;0;;;
